date;time;r.ProtoId;map.Id;map.GetProtoId();hx;hy;r.GetCurrentCount();r.MaxCount;r.EventNum;
6.9.2018;11:24:32 ;710;3;3;99;55;3;10;1;
6.9.2018;11:24:37 ;710;3;3;101;53;4;10;1;
6.9.2018;11:24:42 ;710;3;3;101;62;5;10;1;
6.9.2018;11:24:47 ;710;3;3;75;98;6;10;1;
6.9.2018;11:24:52 ;710;3;3;99;59;7;10;1;
6.9.2018;11:24:57 ;710;3;3;63;89;8;10;1;
6.9.2018;11:25:02 ;710;3;3;75;95;9;10;1;
6.9.2018;11:25:07 ;710;3;3;101;59;10;10;1;
6.9.2018;14:36:29 ;710;3;3;99;54;1;10;1;
6.9.2018;14:36:34 ;710;3;3;99;59;2;10;1;
6.9.2018;14:36:39 ;710;3;3;55;86;3;10;1;
6.9.2018;14:36:44 ;710;3;3;63;89;4;10;1;
6.9.2018;14:36:49 ;710;3;3;75;88;5;10;1;
6.9.2018;14:36:54 ;710;3;3;55;87;6;10;1;
6.9.2018;14:36:59 ;710;3;3;75;91;7;10;1;
6.9.2018;14:37:04 ;710;3;3;59;87;8;10;1;
6.9.2018;14:37:09 ;710;3;3;63;97;9;10;1;
6.9.2018;14:39:06 ;710;3;3;55;86;1;10;1;
6.9.2018;14:39:11 ;710;3;3;67;93;2;10;1;
6.9.2018;14:39:16 ;710;3;3;97;56;3;10;1;
6.9.2018;14:39:21 ;710;3;3;79;90;4;10;1;
6.9.2018;14:39:26 ;710;3;3;59;87;5;10;1;
6.9.2018;14:39:31 ;710;3;3;79;99;6;10;1;
6.9.2018;17:02:12 ;710;3;3;75;94;1;20;1;
6.9.2018;17:02:12 ;711;3;3;63;91;1;20;2;
6.9.2018;17:03:01 ;710;3;3;75;88;1;20;1;
6.9.2018;17:03:01 ;711;3;3;67;99;1;20;2;
6.9.2018;17:03:01 ;712;3;3;81;60;1;3;3;
6.9.2018;17:03:01 ;713;3;3;108;121;1;3;4;
6.9.2018;17:03:06 ;710;3;3;79;94;2;20;1;
6.9.2018;17:03:08 ;711;3;3;67;92;2;20;2;
6.9.2018;17:03:11 ;710;3;3;75;94;3;20;1;
6.9.2018;17:03:15 ;711;3;3;67;96;3;20;2;
6.9.2018;17:03:16 ;712;3;3;127;83;2;3;3;
6.9.2018;17:03:16 ;710;3;3;71;99;4;20;1;
6.9.2018;17:03:21 ;713;3;3;87;90;2;3;4;
6.9.2018;17:03:21 ;710;3;3;75;98;5;20;1;
6.9.2018;17:03:22 ;711;3;3;67;88;4;20;2;
6.9.2018;17:03:26 ;710;3;3;79;100;6;20;1;
6.9.2018;17:03:29 ;711;3;3;59;91;5;20;2;
6.9.2018;17:03:31 ;712;3;3;91;133;1;3;3;
6.9.2018;17:03:31 ;710;3;3;71;98;7;20;1;
6.9.2018;17:03:36 ;711;3;3;67;98;6;20;2;
6.9.2018;17:03:36 ;710;3;3;79;97;8;20;1;
6.9.2018;17:03:41 ;710;3;3;79;96;9;20;1;
6.9.2018;17:03:43 ;711;3;3;67;86;7;20;2;
6.9.2018;17:03:46 ;712;3;3;127;83;2;3;3;
6.9.2018;17:03:46 ;710;3;3;75;100;10;20;1;
6.9.2018;17:03:50 ;711;3;3;67;94;8;20;2;
6.9.2018;17:03:51 ;710;3;3;75;91;11;20;1;
6.9.2018;17:03:56 ;710;3;3;71;85;12;20;1;
6.9.2018;17:03:57 ;711;3;3;59;92;9;20;2;
6.9.2018;17:04:01 ;710;3;3;75;86;13;20;1;
6.9.2018;17:04:04 ;711;3;3;63;86;10;20;2;
6.9.2018;17:04:11 ;711;3;3;63;85;11;20;2;
6.9.2018;17:04:11 ;710;3;3;79;86;14;20;1;
6.9.2018;17:04:16 ;710;3;3;75;89;15;20;1;
6.9.2018;17:04:18 ;711;3;3;59;93;12;20;2;
6.9.2018;17:04:21 ;713;3;3;100;48;3;3;4;
6.9.2018;17:04:26 ;710;3;3;75;95;16;20;1;
6.9.2018;17:04:36 ;710;3;3;71;90;17;20;1;
6.9.2018;17:04:39 ;711;3;3;63;90;13;20;2;
6.9.2018;17:04:41 ;710;3;3;79;90;18;20;1;
6.9.2018;17:04:51 ;710;3;3;79;98;19;20;1;
6.9.2018;17:05:01 ;712;3;3;81;60;3;3;3;
6.9.2018;17:05:14 ;711;3;3;59;85;14;20;2;
6.9.2018;17:05:16 ;710;3;3;75;97;20;20;1;
6.9.2018;17:05:21 ;711;3;3;55;87;15;20;2;
6.9.2018;17:05:35 ;711;3;3;63;94;16;20;2;
6.9.2018;17:05:56 ;711;3;3;63;95;17;20;2;
6.9.2018;17:06:03 ;711;3;3;67;90;18;20;2;
6.9.2018;17:06:24 ;711;3;3;63;99;19;20;2;
6.9.2018;17:06:43 ;710;3;3;75;94;1;20;1;
6.9.2018;17:06:43 ;711;3;3;63;92;1;20;2;
6.9.2018;17:06:43 ;712;3;3;127;83;1;3;3;
6.9.2018;17:06:43 ;713;3;3;87;90;1;3;4;
6.9.2018;17:06:48 ;710;3;3;79;88;2;20;1;
6.9.2018;17:06:50 ;711;3;3;67;96;2;20;2;
6.9.2018;17:06:53 ;710;3;3;79;94;3;20;1;
6.9.2018;17:06:57 ;711;3;3;63;99;3;20;2;
6.9.2018;17:06:58 ;712;3;3;81;60;2;3;3;
6.9.2018;17:06:58 ;710;3;3;79;92;4;20;1;
6.9.2018;17:07:03 ;710;3;3;79;90;5;20;1;
